time,x,y,yaw,velocity,target_velocity,roll,roll_rate,steering_delta,lateral_error,heading_error,wheel_speed_l,wheel_speed_r
0.010714292526245117,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,3.966431104439721e-14,-3.966207070330019e-14
0.021069049835205078,5.000232181085405,-9.600182275194959,6.1702405054120266e-09,0.0,0.01,-0.0004167037627109964,5.241587084855105e-09,0.0014234044375635614,0.0001822751949589474,-6.1702405054120266e-09,1.8168843734372997e-07,3.734067823826445e-12
0.030640125274658203,5.022247354548942,-9.600182172406518,9.742182968340821e-09,0.02104332285348096,0.015,-0.0004164651237385375,2.067899608449292e-07,0.0018481976106077178,0.00018216948397054011,-9.742182968340821e-09,0.1498682759336841,0.1498009739628185
0.04100203514099121,5.022669615349969,-9.600182170704855,9.742542028572039e-09,0.021136110250357432,0.02,-0.00041646122749225954,2.0690577476247927e-07,0.001977068201432512,0.00018216778220114804,-9.742542028572039e-09,0.14618149831768495,0.1461171048034863
0.05051612854003906,5.022669615349969,-9.600182170704855,9.742542028572039e-09,0.021136110250357432,0.025,-0.00041646122749225954,2.0690577476247927e-07,0.0020171869929761733,0.00018216778220114804,-9.742542028572039e-09,0.13938164460707345,0.13931999966015657
0.060478925704956055,5.023066887450401,-9.600182169180023,1.080568368612639e-08,0.019195703532905128,0.030000000000000002,-0.00041645762946513026,1.9590276942534216e-07,0.0020309213724388014,0.0001821662572609739,-1.080568368612639e-08,0.13267466036488995,0.1326155900287533
0.07063603401184082,5.023066887450401,-9.600182169180023,1.080568368612639e-08,0.019195703532905128,0.035,-0.00041645762946513026,1.9590276942534216e-07,0.002036499287980718,0.0001821662572609739,-1.080568368612639e-08,0.13173965488079226,0.13168054018838182
0.08063769340515137,5.023066887450401,-9.600182169180023,1.080568368612639e-08,0.019195703532905128,0.04,-0.00041645762946513026,1.9590276942534216e-07,0.0020396302643464212,0.0001821662572609739,-1.080568368612639e-08,0.133143677840167,0.13308351095010906
0.09043097496032715,5.023066887450401,-9.600182169180023,1.080568368612639e-08,0.019195703532905128,0.045,-0.00041645762946513026,1.9590276942534216e-07,0.00204202715895926,0.0001821662572609739,-1.080568368612639e-08,0.13682557943398443,0.13676336208319265
0.10095572471618652,5.023443965000277,-9.600182167425341,1.0308728143755164e-08,0.019082202498440233,0.049999999999999996,-0.000416453661732669,2.2562682104507462e-07,0.0020441731676478876,0.0001821641836361465,-1.0308728143755164e-08,0.14224789960374093,0.1421828799201279
0.11088347434997559,5.023443965000277,-9.600182167425341,1.0308728143755164e-08,0.019082202498440233,0.05499999999999999,-0.000416453661732669,2.2562682104507462e-07,0.00204627455807054,0.0001821641836361465,-1.0308728143755164e-08,0.16039281226171404,0.16031937915756297
0.12039470672607422,5.023871890096321,-9.600182165462519,8.631685429836739e-09,0.022310981354101478,0.05999999999999999,-0.0004164493358600603,2.325066343649077e-07,0.0020479385473124666,0.0001821623699012065,-8.631685429836739e-09,0.17033869638562396,0.17026061990819963
0.13046002388000488,5.023871890096321,-9.600182165462519,8.631685429836739e-09,0.022310981354101478,0.06499999999999999,-0.0004164493358600603,2.325066343649077e-07,0.002049895316760555,0.0001821623699012065,-8.631685429836739e-09,0.18223997204248424,0.1821563119135169
0.14037394523620605,5.023871890096321,-9.600182165462519,8.631685429836739e-09,0.022310981354101478,0.06999999999999999,-0.0004164493358600603,2.325066343649077e-07,0.0020519399202704913,0.0001821623699012065,-8.631685429836739e-09,0.20535355392038307,0.20525936476304651
0.15073204040527344,5.024397278276697,-9.600182163331782,6.1947584504755066e-09,0.027810626672798787,0.075,-0.00041644470178279065,2.512282638173029e-07,0.0020532936517544532,0.0001821607422769489,-6.1947584504755066e-09,0.2154351995302169,0.21533638046630224
0.16104865074157715,5.024397278276697,-9.600182163331782,6.1947584504755066e-09,0.027810626672798787,0.08,-0.00041644470178279065,2.512282638173029e-07,0.0020551573276558818,0.0001821607422769489,-6.1947584504755066e-09,0.2369642474715053,0.23685559530900904
0.17062091827392578,5.024397278276697,-9.600182163331782,6.1947584504755066e-09,0.027810626672798787,0.085,-0.00041644470178279065,2.512282638173029e-07,0.00205717398688255,0.0001821607422769489,-6.1947584504755066e-09,0.26025588477928846,0.2601367367077778
0.18090128898620605,5.025063271963139,-9.60018216106932,3.3804495997670586e-09,0.035273343188099965,0.09000000000000001,-0.00041643980396201426,2.615757422956607e-07,0.0020582895352921834,0.00018215921089215215,-3.3804495997670586e-09,0.2779989887913258,0.27787183259185844
0.1904294490814209,5.025063271963139,-9.60018216106932,3.3804495997670586e-09,0.035273343188099965,0.09500000000000001,-0.00041643980396201426,2.615757422956607e-07,0.0020600817391289404,0.00018215921089215215,-3.3804495997670586e-09,0.3068630714150942,0.3067229207406818
0.20044803619384766,5.025897912753409,-9.600182158710258,5.136767086994825e-10,0.04399299604019343,0.10000000000000002,-0.0004164346902364075,2.7215037856395274e-07,0.002060982361563112,0.00018215769612339727,-5.136767086994825e-10,0.3363489002243001,0.33619559784553144
0.21049284934997559,5.025897912753409,-9.600182158710258,5.136767086994825e-10,0.04399299604019343,0.10500000000000002,-0.0004164346902364075,2.7215037856395274e-07,0.0020627100697091913,0.00018215769612339727,-5.136767086994825e-10,0.3725787629116665,0.3724093317672755
