time,x,y,yaw,velocity,target_velocity,roll,roll_rate,steering_delta,lateral_error,heading_error,wheel_speed_l,wheel_speed_r
0.011031150817871094,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,1.2682884562285375e-16,-1.2463693395234474e-16
0.02095484733581543,0.0002654974976572366,-5.600000438305313,2.9667356293251774e-12,2.4914621484451735e-06,0.01,-1.0037687185187938e-06,-5.833325160396548e-06,1.172977908881964e-06,4.3830531293309605e-07,-2.9667356293251774e-12,7.93594822443705e-08,8.703835720734465e-13
0.030912399291992188,0.0002654974976572366,-5.600000438305313,2.9667356293251774e-12,2.4914621484451735e-06,0.015,-1.0037687185187938e-06,-5.833325160396548e-06,2.2287584037475834e-06,4.3830531293309605e-07,-2.9667356293251774e-12,5.203990284564919e-07,7.662814339223084e-12
0.04081130027770996,0.0002654974976572366,-5.600000438305313,2.9667356293251774e-12,2.4914621484451735e-06,0.02,-1.0037687185187938e-06,-5.833325160396548e-06,3.1790612259984926e-06,4.3830531293309605e-07,-2.9667356293251774e-12,0.0018110209151709564,0.0018101201129844427
0.05090498924255371,0.0002673352462841388,-5.600000489029891,-8.593151705142747e-10,0.00018372420864110468,0.025,-1.119995433555829e-06,-5.575303732314546e-06,4.076979071521345e-06,4.890290012937726e-07,8.593151705142747e-10,0.002892321803267081,0.0028914202983731296
0.06095623970031738,0.0002673352462841388,-5.600000489029891,-8.593151705142747e-10,0.00018372420864110468,0.030000000000000002,-1.119995433555829e-06,-5.575303732314546e-06,4.885217132035267e-06,4.890290012937726e-07,8.593151705142747e-10,0.002892321803267081,0.0028914202983731296
0.07090592384338379,0.0002673352462841388,-5.600000489029891,-8.593151705142747e-10,0.00018372420864110468,0.035,-1.119995433555829e-06,-5.575303732314546e-06,5.612743386041153e-06,4.890290012937726e-07,8.593151705142747e-10,0.007791641663618218,0.0077894854012311695
0.08082222938537598,0.0002673352462841388,-5.600000489029891,-8.593151705142747e-10,0.00018372420864110468,0.04,-1.119995433555829e-06,-5.575303732314546e-06,6.267629014189807e-06,4.890290012937726e-07,8.593151705142747e-10,0.020844596175435437,0.020842016115451164
0.09069466590881348,0.0002673352462841388,-5.600000489029891,-8.593151705142747e-10,0.00018372420864110468,0.045,-1.119995433555829e-06,-5.575303732314546e-06,6.857138079066951e-06,4.890290012937726e-07,8.593151705142747e-10,0.04121913706116659,0.04121619330647804
0.10074281692504883,0.00033115489247678503,-5.60000052419334,-4.415706463032155e-09,0.004651845306722596,0.049999999999999996,-1.200863115693732e-06,-2.310214592161372e-06,7.108946900081802e-06,5.244511349644654e-07,4.415706463032155e-09,0.05909899791346246,0.059095774415719796
0.11055946350097656,0.00033115489247678503,-5.60000052419334,-4.415706463032155e-09,0.004651845306722596,0.05499999999999999,-1.200863115693732e-06,-2.310214592161372e-06,7.335694925306739e-06,5.244511349644654e-07,4.415706463032155e-09,0.0734039736476885,0.07340049645804884
0.12080073356628418,0.00033115489247678503,-5.60000052419334,-4.415706463032155e-09,0.004651845306722596,0.05999999999999999,-1.200863115693732e-06,-2.310214592161372e-06,7.53988823432075e-06,5.244511349644654e-07,4.415706463032155e-09,0.09482969292994045,0.09482594877289473
0.1309497356414795,0.0005357635052878524,-5.600000523266041,-9.184092033700835e-09,0.012281524774262493,0.06499999999999999,-1.199218041556525e-06,2.459444282509389e-06,7.246101527077263e-06,5.245907530593286e-07,9.184092033700835e-09,0.10755424536927552,0.10755029110746298
0.14069104194641113,0.0005357635052878524,-5.600000523266041,-9.184092033700835e-09,0.012281524774262493,0.06999999999999999,-1.199218041556525e-06,2.459444282509389e-06,6.98181341236228e-06,5.245907530593286e-07,9.184092033700835e-09,0.14509913187467896,0.14509491453387618
0.15070366859436035,0.000920853063349608,-5.600000475318333,-1.4823149955979097e-08,0.02169884065731949,0.075,-1.0900011822807433e-06,8.30826191354648e-06,6.095447498937684e-06,4.780735611831233e-07,1.4823149955979097e-08,0.17684182841040152,0.17683752172144862
0.16054987907409668,0.000920853063349608,-5.600000475318333,-1.4823149955979097e-08,0.02169884065731949,0.08,-1.0900011822807433e-06,8.30826191354648e-06,5.297827176973777e-06,4.780735611831233e-07,1.4823149955979097e-08,0.20525151441199416,0.20524715470205185
0.17151713371276855,0.000920853063349608,-5.600000475318333,-1.4823149955979097e-08,0.02169884065731949,0.085,-1.0900011822807433e-06,8.30826191354648e-06,4.580077887324488e-06,4.780735611831233e-07,1.4823149955979097e-08,0.2302609990245309,0.2302565939613401
0.18072056770324707,0.0015048378253968641,-5.600000373807853,-2.0731637123641333e-08,0.03171201821691792,0.09000000000000001,-8.581727066152539e-07,1.461920462957446e-05,3.1676533612485464e-06,3.7825479815012386e-07,2.0731637123641333e-08,0.2590219979767567,0.2590175388316867
0.19071030616760254,0.0015048378253968641,-5.600000373807853,-2.0731637123641333e-08,0.03171201821691792,0.09500000000000001,-8.581727066152539e-07,1.461920462957446e-05,1.8965571050508609e-06,3.7825479815012386e-07,2.0731637123641333e-08,0.2845658575320582,0.28456137139002724
0.20084071159362793,0.002292190155544474,-5.600000215185213,-2.687495538082403e-08,0.041946631589058536,0.10000000000000002,-4.956023832982855e-07,1.461920462957446e-05,5.408503456650811e-07,2.2140470434806048e-07,2.687495538082403e-08,0.3103243313037705,0.3103198136918357
0.21082210540771484,0.002292190155544474,-5.600000215185213,-2.687495538082403e-08,0.041946631589058536,0.10500000000000002,-4.956023832982855e-07,2.139057077456996e-05,-1.3563727920433408e-06,2.2140470434806048e-07,2.687495538082403e-08,0.31400821315420274,0.31400370217388385
0.22074174880981445,0.002292190155544474,-5.600000215185213,-2.687495538082403e-08,0.041946631589058536,0.11000000000000003,-4.956023832982855e-07,2.139057077456996e-05,-3.063824055742591e-06,2.2140470434806048e-07,2.687495538082403e-08,0.32199614079998573,0.3219913332336589
0.23073959350585938,0.002292190155544474,-5.600000215185213,-2.687495538082403e-08,0.041946631589058536,0.11500000000000003,-4.956023832982855e-07,2.139057077456996e-05,-4.600480632833587e-06,2.2140470434806048e-07,2.687495538082403e-08,0.3639072364287714,0.36390224348708594
