time,x,y,yaw,velocity,target_velocity,roll,roll_rate,steering_delta,lateral_error,heading_error,wheel_speed_l,wheel_speed_r
0.0,5.0,-9.6,3.4481971694773254e-38,1202.6719224653164,0.005,-1.54433201363391e-36,-3.91459429081298e-37,4.7164298205716884e-36,0.0,-3.4481971694773254e-38,3.334498981660366e-28,3.3344986971491022e-28
0.01,4.999996114374322,-9.6,-7.607085195304028e-24,0.0003920986504671479,0.01,-9.324407100506102e-24,-9.812155361780062e-21,1.0334229064812048e-20,0.0,7.607085195304028e-24,0.21041661743571455,0.21041661743571455
0.020000000000000004,4.999996889850867,-9.6,-4.1491946426655505e-24,6.984842385522109e-05,0.015,-1.1836331189126085e-22,-1.9836920408550882e-20,2.426380376498391e-20,0.0,4.1491946426655505e-24,0.10548204320310292,0.10548204320310292
0.03,4.999965542296314,-9.6,1.5197177565600513e-22,0.0032051412771700845,0.02,-3.2839693691671714e-22,-2.122990241223738e-20,3.038526613904771e-20,0.0,-1.5197177565600513e-22,1.335206373238363,1.335206373238363
0.04,4.999969905405017,-9.6,3.239073775846946e-22,0.0003041472694831912,0.025,-5.424864759991057e-22,-2.1566540425340196e-20,3.305616925577141e-20,0.0,-3.239073775846946e-22,0.5681152832363395,0.5681152832363395
0.05,4.9998052010769625,-9.6,4.967929843184655e-22,0.017109877885314113,0.030000000000000002,-7.607326762771511e-22,-2.2019370850275402e-20,3.482564413740234e-20,0.0,-4.967929843184655e-22,6.94414350083585,6.94414350083585
0.060000000000000005,4.999828921561943,-9.6,6.682352567775312e-22,0.00128870252231786,0.035,-9.8423783455986e-22,-2.258654897285331e-20,3.646127331548962e-20,0.0,-6.682352567775312e-22,3.2732614305467944,3.2732614305467944
0.07,4.999675733168335,-9.6,8.4120020996336005e-22,0.01711370028020627,0.04,-1.2142064247509799e-21,-2.3278099158214355e-20,3.820517607133659e-20,0.0,-8.4120020996336005e-22,8.087097142399932,8.087097142399932
0.08000000000000002,4.999706518809813,-9.6,1.0117494589505686e-21,0.0006811184895974564,0.045,-1.4518618627164389e-21,-2.409592785729509e-20,4.013819930065719e-20,0.0,-1.0117494589505686e-21,3.19565866995823,3.19565866995823
0.09000000000000001,4.999557679082362,-9.6,-1.8050684990805807e-21,0.018201796417843082,0.049999999999999996,-1.2650061885880155e-20,-2.5606575258299254e-18,2.7374787919927957e-18,0.0,1.8050684990805807e-21,8.054649850128813,8.054649850128813
0.1,4.999591144966304,-9.6,-3.833474410303096e-21,0.0007399284570843396,0.05499999999999999,-4.01727762760841e-20,-2.5595609932900216e-18,3.6241536997809316e-18,0.0,3.833474410303096e-21,3.352219334035511,3.352219334035511
0.11000000000000001,4.999443967809772,-9.6,-2.6779274555997654e-21,0.019940951372942196,0.05999999999999999,-6.308898056914386e-20,-1.8478000114086735e-18,3.206384441726224e-18,0.0,2.6779274555997654e-21,8.67348020930156,8.67348020930156
0.12000000000000001,4.999478462211454,-9.6,3.0382726701953908e-21,0.002715081226634431,0.06499999999999999,-8.200142741441212e-20,-1.9232462261833614e-18,3.209512705897879e-18,0.0,-3.0382726701953908e-21,3.8906344540889406,3.8906344540889406
0.13,4.999331931596791,-9.6,7.656164425752421e-21,0.022175771428000226,0.06999999999999999,-1.016325393878865e-19,-1.999649232879588e-18,3.342764645365109e-18,0.0,-7.656164425752421e-21,8.263895688850871,8.263895688850871
0.14,4.999366826613135,-9.6,1.1957751768733481e-20,0.00515095984814716,0.075,-1.221941031513204e-19,-2.0996190906272412e-18,3.542697524598872e-18,0.0,-1.1957751768733481e-20,3.533409895242677,3.533409895242677
0.15,4.999220554822388,-9.6,1.533183703538734e-20,0.02485014823058716,0.08,-1.437381074663039e-19,-2.2035445524552274e-18,3.770263559059815e-18,0.0,-1.533183703538734e-20,8.195870505665491,8.195870505665491
0.16,4.99925560964777,-9.6,1.8343381526357405e-20,0.008013724709998995,0.085,-1.6649350532420125e-19,-2.3331991215115984e-18,4.036860427034356e-18,0.0,-1.8343381526357405e-20,3.770465319666113,3.770465319666113
0.17,4.999109447523575,-9.6,2.0513065877682973e-20,0.02794369434157039,0.09000000000000001,-1.9306690297266472e-19,-3.3288434205228176e-18,5.235828469918672e-18,0.0,-2.0513065877682973e-20,8.405354648610766,8.405354648610766
0.18,4.999144569032729,-9.6,2.237428726294488e-20,0.01129103638973773,0.09500000000000001,-2.2748261188093355e-19,-3.5348311678299035e-18,5.90766333657146e-18,0.0,-2.237428726294488e-20,4.056500442877777,4.056500442877777
0.19,4.998998458797217,-9.6,2.4593252146449565e-20,0.03144895634098931,0.10000000000000002,-2.641065516389955e-19,-3.767521677809738e-18,6.455456960880979e-18,0.0,-2.4593252146449565e-20,8.593856035743462,8.593856035743462
0.2,4.9990336106903115,-9.6,2.6349774147445843e-20,0.01497836745853745,0.10500000000000002,-3.0322017288569467e-19,-4.031137788454713e-18,7.005941809046219e-18,0.0,-2.6349774147445843e-20,3.664474869551857,3.664474869551857
